Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,
Estaci�n: 46250054-Val�ncia - Centre,,,,,

FECHA,PM2.5,NO,NO2,PM10,NOx
,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�
01/01/2022,36,15,29,44,51
02/01/2022,32,20,37,40,68
03/01/2022,41,33,44,53,95
04/01/2022,9,14,27,23,49
05/01/2022,6,8,23,18,36
06/01/2022,7,8,20,14,33
07/01/2022,8,15,26,16,50
08/01/2022,6,10,23,13,39
09/01/2022,5,6,11,13,20
10/01/2022,5,8,21,17,32
11/01/2022,10,10,35,22,50
12/01/2022,8,10,27,18,42
13/01/2022,11,18,29,21,56
14/01/2022,15,16,33,28,57
15/01/2022,15,11,29,23,46
16/01/2022,13,9,26,20,39
17/01/2022,18,24,48,31,85
18/01/2022,22,29,49,37,93
19/01/2022,20,22,47,38,80
20/01/2022,23,35,50,38,104
21/01/2022,13,24,34,28,71
22/01/2022,16,9,29,27,42
23/01/2022,16,5,19,21,27
24/01/2022,13,5,25,20,33
25/01/2022,10,5,23,20,30
26/01/2022,15,23,41,29,77
27/01/2022,17,33,52,36,102
28/01/2022,15,29,51,32,96
29/01/2022,16,15,44,29,67
30/01/2022,19,16,45,31,68
31/01/2022,11,21,45,32,78
01/02/2022,11,23,43,29,77
02/02/2022,16,28,55,34,98
03/02/2022,23,41,56,43,118
04/02/2022,37,23,44,55,79
05/02/2022,33,17,48,52,74
06/02/2022,18,6,23,27,32
07/02/2022,17,21,42,32,73
08/02/2022,15,17,39,31,65
09/02/2022,17,10,31,32,47
10/02/2022,17,13,34,30,54
11/02/2022,25,29,46,44,90
12/02/2022,23,7,32,37,43
13/02/2022,23,9,31,38,46
14/02/2022,9,10,24,25,40
15/02/2022,6,11,27,21,44
16/02/2022,6,10,27,18,42
17/02/2022,10,10,34,21,50
18/02/2022,18,24,42,37,78
19/02/2022,15,4,16,34,21
20/02/2022,7,6,16,14,25
21/02/2022,8,17,23,22,49
22/02/2022,12,35,44,31,98
23/02/2022,15,15,35,33,58
24/02/2022,14,13,32,30,52
25/02/2022,14,4,27,28,33
26/02/2022,13,9,27,27,41
27/02/2022,,7,19,,29
28/02/2022,,11,38,,55
01/03/2022,,19,38,,68
03/03/2022,18,12,25,31,43
04/03/2022,11,8,23,22,35
05/03/2022,11,5,19,23,26
06/03/2022,,3,11,,15
07/03/2022,,4,22,,28
08/03/2022,,17,30,,56
09/03/2022,15,12,25,28,43
10/03/2022,14,10,23,26,37
11/03/2022,21,12,31,34,48
12/03/2022,12,4,17,20,23
13/03/2022,16,6,20,29,29
14/03/2022,18,3,13,35,18
15/03/2022,32,5,11,64,18
16/03/2022,,3,9,,13
17/03/2022,16,2,10,26,13
18/03/2022,24,5,13,41,20
19/03/2022,56,6,16,74,25
20/03/2022,23,6,14,42,24
21/03/2022,15,5,14,27,21
22/03/2022,14,2,9,28,12
23/03/2022,12,2,9,24,11
24/03/2022,8,1,11,11,13
25/03/2022,18,1,11,29,12
26/03/2022,14,1,7,20,9
27/03/2022,20,1,11,40,13
28/03/2022,24,7,20,52,31
29/03/2022,28,7,21,66,32
30/03/2022,26,6,20,62,29
31/03/2022,9,4,16,20,23
01/04/2022,5,2,10,14,13
02/04/2022,5,2,9,11,12
03/04/2022,5,3,10,12,14
04/04/2022,9,2,10,20,12
05/04/2022,9,2,12,20,14
06/04/2022,7,6,17,14,26
07/04/2022,7,3,12,16,17
08/04/2022,6,4,14,17,20
09/04/2022,6,2,9,14,12
10/04/2022,13,1,10,24,12
11/04/2022,14,2,12,28,15
12/04/2022,18,4,16,35,23
13/04/2022,12,3,13,19,17
14/04/2022,11,2,11,24,13
15/04/2022,11,2,14,23,17
16/04/2022,16,3,20,33,23
17/04/2022,13,2,12,26,15
18/04/2022,16,2,10,26,13
19/04/2022,14,2,10,23,12
20/04/2022,8,3,18,14,23
21/04/2022,5,5,20,15,27
22/04/2022,10,8,25,22,36
23/04/2022,2,1,6,6,8
24/04/2022,4,2,9,8,11
25/04/2022,8,2,12,16,14
26/04/2022,8,7,17,17,27
27/04/2022,17,7,31,37,43
28/04/2022,19,5,21,29,29
29/04/2022,13,4,18,30,24
30/04/2022,17,3,21,32,25
01/05/2022,18,1,12,32,14
02/05/2022,18,3,14,32,18
03/05/2022,8,2,16,11,19
04/05/2022,15,2,15,27,18
05/05/2022,13,4,16,34,21
06/05/2022,13,8,25,31,37
07/05/2022,10,3,15,21,19
08/05/2022,,3,12,,16
09/05/2022,,4,18,,24
10/05/2022,13,6,21,32,30
11/05/2022,17,7,22,41,33
12/05/2022,15,2,15,34,18
13/05/2022,17,5,17,34,24
14/05/2022,17,3,17,34,21
15/05/2022,14,3,12,28,16
16/05/2022,21,5,22,44,30
17/05/2022,21,7,24,45,35
18/05/2022,22,5,15,42,22
19/05/2022,22,5,14,43,22
20/05/2022,15,3,15,34,19
21/05/2022,14,3,22,30,26
22/05/2022,13,3,16,26,20
23/05/2022,12,5,17,32,24
24/05/2022,11,2,9,31,11
25/05/2022,4,3,13,13,17
26/05/2022,7,6,17,20,26
27/05/2022,9,6,24,26,33
28/05/2022,12,2,18,29,21
29/05/2022,10,2,11,25,14
30/05/2022,11,3,13,24,17
31/05/2022,15,2,12,28,14
01/06/2022,18,2,11,32,14
02/06/2022,20,3,11,33,15
