Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,
Estaci�n: 46250047-Val�ncia - Avd. Francia,,,,,,,,,,

FECHA,PM2.5,CO,NO,NO2,PM10,NOx,O3,Veloc.,Direc.,SO2
,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�,m/s,grados,�g/m�
01/01/2021,2,"0,1",1,7,2,9,56,"0,8",263,3
02/01/2021,1,"0,1",1,6,2,8,53,"0,9",296,3
03/01/2021,1,"0,1",1,6,2,8,49,"0,7",259,3
04/01/2021,4,"0,1",1,11,6,13,39,"1,4",246,3
05/01/2021,8,"0,2",7,21,11,31,26,"0,7",221,3
06/01/2021,4,"0,2",2,14,6,17,33,"0,3",128,4
07/01/2021,5,"0,2",1,16,6,18,32,"1,1",26,5
08/01/2021,5,"0,3",1,13,6,15,36,2,32,4
09/01/2021,3,"0,3",1,15,4,17,34,"1,5",327,4
10/01/2021,5,"0,3",4,17,6,22,25,"0,5",321,3
11/01/2021,5,"0,2",7,23,9,34,27,"0,4",351,3
12/01/2021,7,"0,2",3,20,11,26,37,"0,9",236,3
13/01/2021,9,"0,2",7,29,18,39,32,"0,6",236,4
14/01/2021,11,"0,2",10,34,20,50,28,"0,6",219,4
15/01/2021,3,"0,2",2,20,6,24,46,"0,9",281,3
16/01/2021,5,"0,2",2,20,8,24,40,"0,6",221,4
17/01/2021,5,"0,2",1,15,7,17,52,"1,1",243,4
18/01/2021,6,"0,1",12,39,10,57,26,"0,4",236,4
19/01/2021,8,"0,1",10,33,12,49,22,"0,5",191,3
20/01/2021,17,"0,1",19,43,26,73,12,"0,6",210,4
21/01/2021,2,"0,1",1,15,4,17,56,2,241,3
22/01/2021,1,"0,1",1,9,5,11,63,"2,3",250,4
23/01/2021,1,"0,1",1,5,2,7,66,"2,1",243,5
24/01/2021,1,"0,1",1,5,3,7,67,"2,1",269,3
25/01/2021,2,"0,1",2,13,4,16,46,"1,4",252,3
26/01/2021,5,"0,1",12,28,8,47,25,"0,5",322,5
27/01/2021,3,"0,1",19,29,7,59,18,"0,4",262,3
28/01/2021,3,"0,1",4,21,7,27,23,1,237,3
29/01/2021,3,"0,1",5,17,7,26,32,1,237,5
30/01/2021,2,"0,1",1,7,8,9,54,"1,9",269,5
31/01/2021,1,"0,1",1,3,2,5,64,"1,9",246,5
01/02/2021,2,"0,1",1,7,5,9,59,2,260,3
02/02/2021,2,"0,1",1,11,4,13,45,"1,4",245,3
03/02/2021,5,"0,1",2,19,10,21,32,"1,1",255,3
04/02/2021,14,"0,1",8,21,19,34,30,"1,1",40,5
05/02/2021,12,"0,1",1,13,17,15,50,2,49,3
06/02/2021,9,"0,1",1,10,27,13,44,"0,9",251,3
07/02/2021,1,"0,1",1,4,5,6,58,"0,9",282,3
08/02/2021,2,"0,1",1,9,10,11,60,"2,1",249,4
09/02/2021,2,"0,1",1,9,6,11,62,"2,8",238,3
10/02/2021,2,"0,1",1,8,5,10,70,,264,3
11/02/2021,2,"0,1",2,16,6,19,39,,243,5
12/02/2021,2,"0,1",1,11,8,14,51,,265,4
13/02/2021,3,"0,1",2,11,5,14,61,,300,5
14/02/2021,5,"0,1",1,10,7,12,49,,76,5
15/02/2021,3,"0,1",1,16,5,18,41,,100,3
16/02/2021,6,"0,1",7,25,9,37,37,,213,4
17/02/2021,15,"0,1",4,21,19,26,44,,58,3
18/02/2021,24,"0,1",2,17,29,20,58,,178,3
19/02/2021,23,"0,1",2,16,29,20,61,,113,3
20/02/2021,16,"0,1",1,10,23,12,78,,31,3
21/02/2021,9,"0,1",1,6,13,8,82,,50,4
22/02/2021,2,"0,1",1,11,3,13,49,,278,5
23/02/2021,4,"0,1",1,12,8,15,51,,53,3
24/02/2021,8,"0,1",1,14,12,17,41,"1,2",81,3
25/02/2021,13,"0,1",11,27,18,44,28,"0,9",105,4
26/02/2021,13,"0,1",2,18,17,21,40,1,69,4
27/02/2021,15,"0,1",2,12,22,14,52,"1,1",114,3
28/02/2021,12,"0,1",1,8,17,10,62,3,48,3
01/03/2021,9,"0,1",1,10,15,12,67,"4,6",52,4
02/03/2021,11,"0,1",1,11,15,13,64,"4,3",47,4
03/03/2021,15,"0,1",1,12,20,14,59,"2,5",49,3
04/03/2021,18,"0,1",1,14,28,16,61,"1,5",46,5
05/03/2021,18,"0,1",7,22,25,33,47,"1,3",80,5
06/03/2021,17,"0,1",1,11,20,13,62,"1,9",41,4
07/03/2021,12,"0,1",1,9,14,11,58,"1,2",25,4
08/03/2021,6,"0,1",5,15,8,23,44,1,18,4
09/03/2021,5,"0,1",3,15,7,20,44,"1,3",58,4
10/03/2021,11,"0,1",3,21,14,26,39,"1,6",300,
11/03/2021,12,"0,1",5,26,19,34,37,"1,4",231,
12/03/2021,6,"0,1",2,16,10,19,48,"1,8",298,
13/03/2021,9,,2,18,11,22,46,"1,3",215,
14/03/2021,2,,2,16,4,19,57,"1,3",243,
15/03/2021,3,"0,1",2,17,7,20,59,"1,6",131,
16/03/2021,7,"0,1",5,28,13,35,41,"1,3",183,
17/03/2021,7,"0,1",6,31,16,40,44,"1,4",127,
18/03/2021,4,"0,1",1,19,6,21,40,"1,6",335,
19/03/2021,2,"0,1",1,6,3,8,60,2,30,
20/03/2021,3,"0,1",1,5,6,7,71,"3,5",45,4
21/03/2021,4,"0,1",1,8,6,10,68,"1,1",288,
22/03/2021,3,,5,24,9,32,40,"1,3",186,3
23/03/2021,8,,3,24,12,29,41,"1,5",42,4
24/03/2021,13,,4,26,17,32,57,"1,6",47,3
25/03/2021,20,"0,1",4,19,23,25,63,"1,7",59,3
26/03/2021,24,"0,1",3,19,27,24,62,"1,7",111,3
27/03/2021,12,,2,11,15,14,74,"2,8",40,3
28/03/2021,4,,1,8,5,10,67,"1,6",32,3
29/03/2021,5,"0,1",5,16,8,24,68,"3,1",33,3
30/03/2021,8,"0,1",4,17,11,23,63,"1,9",34,3
31/03/2021,14,"0,1",6,19,18,28,50,"1,4",90,3
01/04/2021,9,"0,1",2,18,12,21,60,"1,3",42,3
02/04/2021,8,,2,13,11,15,68,"1,7",102,3
03/04/2021,9,,3,22,12,26,63,1,154,3
04/04/2021,7,,2,8,9,10,78,"2,2",67,3
05/04/2021,8,,2,16,11,19,52,"1,6",126,3
06/04/2021,8,,6,19,15,27,62,"2,2",73,3
07/04/2021,4,,2,10,8,12,71,"3,1",67,3
08/04/2021,3,"0,1",2,12,4,15,67,"1,4",78,3
09/04/2021,5,"0,1",2,18,6,21,56,1,28,3
10/04/2021,5,"0,1",2,16,6,18,59,"0,6",66,3
11/04/2021,6,"0,1",3,11,7,15,51,"1,9",236,3
12/04/2021,2,,2,8,3,10,64,"2,3",74,3
13/04/2021,3,,5,17,4,24,60,"1,6",140,3
14/04/2021,2,,2,13,2,16,71,"1,3",121,3
15/04/2021,3,,2,10,4,12,79,"2,7",51,3
16/04/2021,5,"0,2",3,13,7,18,68,"1,8",12,
17/04/2021,4,"0,1",2,7,5,10,76,"1,9",66,
18/04/2021,4,"0,1",1,9,5,11,74,"1,9",59,
19/04/2021,7,"0,2",7,17,11,29,73,"3,4",52,5
20/04/2021,11,"0,1",2,15,12,18,81,"2,2",55,3
21/04/2021,9,"0,1",2,10,10,13,83,"2,8",58,3
22/04/2021,5,"0,1",2,9,5,11,81,"2,2",62,3
23/04/2021,6,"0,1",2,10,7,13,79,"2,2",64,3
24/04/2021,6,"0,1",2,7,7,10,88,"2,5",53,3
25/04/2021,9,"0,1",2,6,10,8,80,"3,7",41,3
26/04/2021,7,"0,1",2,8,7,11,83,"2,1",68,4
27/04/2021,12,"0,1",2,10,15,12,77,"2,2",87,5
28/04/2021,14,"0,1",3,15,19,19,59,"1,8",111,6
29/04/2021,7,"0,1",4,18,10,24,47,"1,3",228,6
30/04/2021,7,"0,2",2,14,9,17,57,"1,9",87,6
01/05/2021,4,"0,3",2,8,5,10,58,3,100,6
02/05/2021,3,"0,2",2,4,4,7,73,"3,5",48,6
03/05/2021,3,,2,8,4,11,82,"3,4",48,6
04/05/2021,6,,3,15,8,20,63,"1,9",117,6
05/05/2021,6,,5,14,9,21,62,"2,2",69,6
06/05/2021,8,,5,15,11,23,59,"2,4",57,6
07/05/2021,9,,8,23,13,34,51,"2,1",59,6
08/05/2021,11,"0,2",2,5,13,8,83,"2,7",63,6
09/05/2021,13,"0,2",2,7,15,10,70,"2,2",56,6
10/05/2021,2,"0,2",2,9,5,13,52,"1,5",242,6
