Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,
Estaci�n: 46250047-Val�ncia - Avd. Francia,,,,,,,,,,

FECHA,Veloc.,Direc.,PM2.5,SO2,CO,NO,NO2,PM10,NOx,O3
,m/s,grados,�g/m�,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�
01/01/2022,"0,4",175,43,3,"0,1",9,17,51,30,31
02/01/2022,"0,4",27,38,3,"0,1",13,19,47,38,23
03/01/2022,"0,6",332,45,3,"0,1",23,24,58,60,25
04/01/2022,"1,6",241,8,3,"0,1",2,13,33,16,43
05/01/2022,"1,2",328,4,4,"0,1",2,11,23,14,51
06/01/2022,"0,6",332,6,3,"0,2",2,9,16,11,53
07/01/2022,"1,4",261,8,3,"0,2",5,10,23,18,46
08/01/2022,"1,2",251,5,3,"0,1",2,7,15,9,49
09/01/2022,"1,4",252,5,3,"0,1",2,4,17,7,51
10/01/2022,"2,1",252,4,5,"0,1",2,11,14,14,43
11/01/2022,"0,6",190,9,4,"0,1",4,14,14,19,48
12/01/2022,"1,2",57,8,4,"0,2",4,16,19,22,36
13/01/2022,"0,8",39,11,3,"0,1",4,16,20,21,43
14/01/2022,1,1,16,3,"0,2",4,18,35,24,35
15/01/2022,"0,9",248,16,3,"0,1",2,16,25,19,41
16/01/2022,"0,7",251,16,3,"0,1",4,15,25,21,41
17/01/2022,"0,7",263,19,3,"0,1",7,25,51,36,32
18/01/2022,"0,8",280,23,3,"0,1",9,25,45,38,35
19/01/2022,"0,3",345,22,3,"0,1",12,30,49,49,32
20/01/2022,"0,5",104,26,3,"0,1",16,29,52,54,28
21/01/2022,"1,2",100,16,3,,8,20,36,33,34
22/01/2022,"0,9",23,13,3,,3,16,25,20,44
23/01/2022,1,7,20,3,,2,13,26,15,42
24/01/2022,"1,4",24,15,3,,2,15,20,17,45
25/01/2022,"1,8",37,11,3,,2,12,17,14,57
26/01/2022,"0,7",347,16,3,,8,20,26,33,41
27/01/2022,"0,5",304,19,3,,22,32,45,65,21
28/01/2022,"0,6",253,16,3,,14,29,62,51,27
29/01/2022,"0,7",234,17,3,"0,1",8,25,36,37,31
30/01/2022,"0,8",242,22,3,"0,1",6,24,36,33,32
31/01/2022,"1,4",291,11,3,,5,22,38,30,37
01/02/2022,"0,9",264,10,4,,10,25,34,40,42
02/02/2022,"0,9",214,17,4,,14,32,49,53,27
03/02/2022,"1,1",245,28,4,,19,32,60,61,24
04/02/2022,"0,8",41,40,4,,6,23,57,33,32
05/02/2022,"0,3",8,39,4,,6,30,58,39,18
06/02/2022,"0,9",53,20,3,,3,18,29,23,29
07/02/2022,"0,8",254,21,3,,10,23,40,38,26
08/02/2022,"0,8",30,17,3,,7,22,35,32,30
09/02/2022,"1,1",27,18,4,,4,19,31,24,37
10/02/2022,1,249,18,3,,4,21,34,26,35
11/02/2022,"0,7",45,27,4,,15,27,54,49,25
12/02/2022,"1,2",195,27,3,"0,3",5,23,44,30,32
13/02/2022,"1,2",235,25,4,"0,2",2,20,44,23,32
14/02/2022,"1,4",284,7,4,"0,2",2,11,22,14,46
15/02/2022,"1,1",288,4,4,"0,2",2,11,16,14,42
16/02/2022,"1,1",253,6,4,"0,1",2,12,24,15,39
17/02/2022,"1,4",231,8,4,,3,18,29,22,33
18/02/2022,"1,2",249,19,4,,11,28,37,44,35
19/02/2022,"2,7",58,12,5,,2,11,26,14,51
20/02/2022,"1,2",283,8,5,,2,13,14,16,41
21/02/2022,"1,7",263,8,4,,9,18,40,31,35
22/02/2022,"1,2",295,12,5,,16,30,46,55,28
23/02/2022,1,33,15,5,,7,28,39,39,29
24/02/2022,"1,1",20,13,5,,8,22,33,34,40
25/02/2022,"0,7",40,13,4,,2,18,20,21,38
26/02/2022,"1,9",69,10,3,,2,14,19,16,41
27/02/2022,"0,6",48,10,3,,2,12,31,14,47
28/02/2022,"1,3",45,14,3,,3,26,32,31,36
01/03/2022,"1,5",226,17,3,,8,25,43,37,34
02/03/2022,"1,7",262,24,3,,7,25,51,35,38
03/03/2022,"1,4",65,21,3,,5,23,37,30,36
04/03/2022,"2,8",65,10,3,,2,18,21,20,42
05/03/2022,"1,5",153,5,3,,2,14,13,17,38
06/03/2022,3,38,5,3,,2,6,10,9,52
07/03/2022,"1,7",23,9,3,"0,2",2,19,12,21,35
08/03/2022,"0,6",247,13,3,"0,2",10,25,25,39,23
09/03/2022,"1,5",51,13,3,"0,1",4,18,22,24,36
10/03/2022,"1,3",134,15,3,"0,1",4,19,27,25,47
