Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,,,,,,,
Estaci�n: 46250301-Val�ncia Port Moll Trans. Ponent,,,,,,,,,,,,,,,,

FECHA,Veloc.,Direc.,Temp.,H.Rel.,Pres.,R.Sol.,Precip.,PM2.5,SO2,CO,NO,NO2,PM10,NOx,O3,Veloc.m�x.
,m/s,grados,�C,% H.R.,mb,W/m�,l/m�,�g/m�,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�,m/s
01/01/2023,"1,6",296,"12,7",77,1026,82,0,14,5,"0,1",1,6,20,8,35,"2,3"
02/01/2023,"1,3",220,"13,1",83,1026,70,0,17,5,"0,1",12,21,31,39,22,"1,9"
03/01/2023,1,273,"14,3",87,1032,63,0,20,5,"0,2",21,32,33,64,17,"1,5"
04/01/2023,"1,4",238,"13,2",83,1035,104,0,15,4,"0,2",18,26,26,53,16,"2,1"
05/01/2023,"1,7",204,"11,6",81,1031,105,0,16,2,"0,2",8,18,25,30,22,"2,4"
06/01/2023,"1,3",187,"11,1",76,1027,107,0,16,2,"0,2",4,11,20,17,26,"1,8"
07/01/2023,3,215,"12,8",66,1023,110,0,11,2,"0,1",3,5,17,9,44,"4,6"
08/01/2023,"4,2",212,"18,1",64,1017,35,0,3,3,"0,1",4,6,8,11,57,"6,8"
09/01/2023,"2,9",245,"17,5",66,1021,101,0,4,3,"0,1",7,15,11,25,46,"4,6"
10/01/2023,"1,6",217,"14,1",66,1029,110,0,7,4,"0,1",22,20,23,54,26,"2,5"
11/01/2023,"1,7",218,"14,6",69,1027,93,0,8,4,"0,1",15,15,19,38,20,"2,6"
12/01/2023,"2,2",198,"12,7",72,1030,112,0,8,4,"0,1",19,11,19,39,29,"3,1"
13/01/2023,"1,5",202,"12,5",61,1028,97,0,11,3,"0,2",16,13,28,37,14,"2,1"
14/01/2023,"2,4",194,"12,7",67,1027,114,0,9,3,"0,1",6,9,14,19,34,"3,4"
15/01/2023,"4,1",226,"13,9",55,1021,97,0,5,4,"0,1",2,2,12,4,49,"6,4"
16/01/2023,"5,6",220,13,57,1013,89,0,4,4,"0,1",3,2,18,6,61,"9,3"
17/01/2023,"6,7",243,"15,2",55,1001,115,"0,8",3,5,"0,1",3,2,16,6,76,"12,1"
18/01/2023,"4,2",253,"10,6",42,1008,114,0,2,4,"0,1",5,7,5,14,64,7
19/01/2023,"4,6",238,"10,7",45,1017,105,0,2,3,"0,1",7,7,7,17,60,"7,7"
20/01/2023,"3,2",238,"13,4",52,1018,118,0,3,4,"0,1",15,23,11,46,50,"5,3"
21/01/2023,"2,9",310,"10,3",44,1021,128,0,4,3,"0,1",4,7,9,13,63,5
22/01/2023,"2,5",266,"9,1",31,1023,131,0,2,2,"0,1",3,6,5,9,68,"4,2"
23/01/2023,"1,7",247,"8,2",44,1023,118,0,6,4,"0,2",37,32,17,88,42,"2,7"
24/01/2023,"1,9",328,"7,8",53,1027,129,0,7,4,"0,1",9,15,13,28,45,"2,9"
25/01/2023,"2,2",288,"9,7",55,1026,86,0,9,2,"0,2",24,28,22,65,37,"3,4"
26/01/2023,"1,8",192,"8,6",57,1018,131,0,9,3,"0,2",41,36,18,98,31,"2,5"
27/01/2023,"1,7",186,"8,1",54,1016,135,0,8,5,"0,2",20,33,19,63,37,"2,6"
28/01/2023,"1,9",219,"8,2",53,1020,136,0,5,3,"0,1",6,16,10,24,57,3
29/01/2023,"1,7",312,"7,6",67,1027,47,"3,8",6,2,"0,1",2,8,11,11,55,"2,6"
30/01/2023,2,220,"8,5",72,1030,140,0,9,1,"0,3",22,28,17,62,36,"3,1"
31/01/2023,"1,5",217,9,67,1029,143,0,13,3,"0,2",23,34,23,69,34,"2,2"
01/02/2023,"1,4",185,"9,2",70,1031,141,0,16,3,"0,3",29,46,30,90,28,"2,1"
02/02/2023,"1,8",211,10,73,1031,145,0,17,4,"0,2",33,44,32,94,33,"2,6"
03/02/2023,"1,6",211,"10,6",67,1033,148,0,17,6,"0,3",30,54,32,100,26,"2,2"
04/02/2023,"1,4",184,"11,5",49,1030,154,0,13,8,"0,2",22,52,23,85,25,"1,9"
05/02/2023,"1,2",219,"11,5",65,1032,150,0,11,9,"0,2",4,31,19,36,42,"1,9"
06/02/2023,"4,4",351,9,86,1028,14,"5,4",14,6,"0,1",5,18,37,26,55,7
07/02/2023,"3,4",356,"10,2",70,1025,83,0,14,8,"0,1",5,13,41,20,63,"5,3"
08/02/2023,"4,4",355,"9,7",94,1028,16,"24,6",15,4,"0,1",5,10,48,17,68,"7,1"
09/02/2023,"3,6",15,10,80,1035,130,"0,2",10,5,"0,1",12,9,31,28,72,"5,6"
10/02/2023,"1,2",279,"9,1",80,1040,103,0,12,3,"0,2",19,34,23,63,35,"1,8"
11/02/2023,"1,8",345,"9,3",74,1038,93,0,10,3,"0,2",4,18,17,23,63,"2,7"
12/02/2023,"1,2",318,"9,7",73,1037,89,0,11,4,"0,2",2,20,16,23,67,"1,9"
13/02/2023,"1,3",220,"9,6",77,1038,111,0,13,4,"0,2",21,37,24,69,43,2
14/02/2023,"1,9",4,"11,3",82,1036,67,0,12,4,"0,1",15,26,21,48,64,"2,8"
15/02/2023,"1,7",13,"11,8",82,1032,136,0,11,4,"0,1",11,26,22,42,62,"2,6"
16/02/2023,"1,2",351,"11,5",84,1034,152,0,17,4,"0,2",20,30,29,61,48,"1,8"
17/02/2023,"1,5",205,"10,8",79,1036,173,0,21,4,"0,2",29,44,33,89,32,"2,3"
18/02/2023,"1,4",190,"10,4",74,1034,100,0,17,4,"0,2",13,44,26,65,34,"1,8"
19/02/2023,1,199,"11,4",77,1030,149,0,24,4,"0,2",14,42,32,64,29,"1,4"
20/02/2023,"0,9",155,"11,8",79,1028,152,0,29,4,"0,3",39,55,47,114,23,"1,4"
21/02/2023,"1,2",190,"11,7",72,1023,102,0,25,3,"0,2",42,63,48,127,17,"1,9"
22/02/2023,"1,4",17,"11,9",90,1020,152,0,28,5,"0,2",24,44,43,81,34,2
23/02/2023,"1,4",279,"12,3",87,1013,103,0,32,4,"0,2",16,41,54,65,36,"2,2"
