Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,
Estaci�n: 46250048-Val�ncia - Mol� del Sol,,,,,,,,,

FECHA,PM2.5,PM1,SO2,CO,NO,NO2,PM10,NOx,O3
,�g/m�,�g/m�,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�
01/01/2022,35,28,4,"0,4",6,18,45,26,23
02/01/2022,31,24,5,"0,4",12,21,39,39,16
03/01/2022,38,29,5,"0,4",17,25,48,51,17
04/01/2022,13,8,4,"0,2",4,14,21,20,45
05/01/2022,5,2,3,"0,2",2,10,8,13,63
06/01/2022,7,4,3,"0,2",4,13,9,19,56
07/01/2022,7,4,4,"0,2",7,13,11,24,52
08/01/2022,6,4,3,"0,1",3,12,9,16,50
09/01/2022,5,3,4,"0,1",2,4,9,7,63
10/01/2022,4,2,4,"0,1",2,11,7,14,51
11/01/2022,8,6,4,"0,2",4,20,11,26,47
12/01/2022,8,6,4,"0,2",4,21,11,27,37
13/01/2022,11,8,4,"0,2",11,22,14,38,38
14/01/2022,15,11,4,"0,2",4,19,19,25,37
15/01/2022,12,9,3,"0,2",3,16,16,20,47
16/01/2022,15,11,4,"0,2",4,16,19,23,44
17/01/2022,18,13,4,"0,2",9,28,23,42,36
18/01/2022,24,18,5,"0,2",21,34,31,66,29
19/01/2022,20,15,3,"0,2",9,28,26,41,37
20/01/2022,23,18,5,"0,2",12,30,30,49,30
21/01/2022,13,9,5,"0,2",10,22,17,37,35
22/01/2022,18,14,5,"0,3",5,20,23,29,34
23/01/2022,18,14,4,"0,2",2,13,23,15,46
24/01/2022,14,11,5,"0,2",5,17,17,24,43
25/01/2022,13,9,4,"0,2",3,21,16,26,49
26/01/2022,16,12,4,"0,2",11,24,20,40,36
27/01/2022,13,9,5,"0,2",17,33,18,59,27
28/01/2022,11,7,4,"0,2",10,31,15,46,34
29/01/2022,15,11,4,"0,2",8,28,19,39,35
30/01/2022,19,14,3,"0,3",7,27,25,36,29
31/01/2022,11,6,3,"0,2",9,27,19,41,38
01/02/2022,9,5,3,"0,2",15,28,13,51,46
02/02/2022,15,10,3,"0,2",20,37,20,68,23
03/02/2022,24,18,4,"0,3",28,35,32,78,20
04/02/2022,36,28,3,"0,2",18,36,46,64,28
05/02/2022,30,24,3,"0,2",15,37,38,60,25
06/02/2022,18,14,3,"0,2",10,29,23,45,34
07/02/2022,17,12,3,"0,2",19,39,23,69,30
08/02/2022,16,11,3,"0,2",17,42,21,68,28
09/02/2022,16,11,3,"0,2",10,36,20,52,44
10/02/2022,15,10,3,"0,1",7,26,20,37,47
11/02/2022,22,16,3,"0,2",10,26,29,41,36
12/02/2022,20,15,3,"0,2",2,19,26,22,49
13/02/2022,21,16,3,"0,2",3,17,27,22,39
14/02/2022,5,3,3,"0,1",1,8,8,9,65
15/02/2022,3,2,3,"0,1",2,10,6,13,57
16/02/2022,5,3,3,"0,1",1,11,9,13,55
17/02/2022,7,5,3,"0,1",2,15,10,19,48
18/02/2022,17,12,3,"0,2",17,26,23,53,37
19/02/2022,12,8,3,"0,1",1,9,16,11,62
21/02/2022,5,3,3,"0,1",6,9,9,18,64
22/02/2022,9,5,3,"0,2",13,22,13,42,42
23/02/2022,12,8,3,"0,2",8,20,16,32,44
24/02/2022,11,8,3,"0,2",5,21,15,29,43
25/02/2022,13,10,3,"0,2",1,18,16,20,39
26/02/2022,8,6,3,"0,1",1,12,11,14,48
27/02/2022,8,6,3,"0,1",1,10,11,12,50
28/02/2022,12,9,3,"0,2",5,20,16,28,44
01/03/2022,13,9,3,"0,1",3,19,17,23,46
02/03/2022,18,13,3,"0,2",9,18,26,32,47
03/03/2022,17,13,3,"0,1",5,18,23,25,47
04/03/2022,9,7,3,"0,1",1,13,12,15,57
05/03/2022,5,4,3,"0,1",1,13,8,15,52
06/03/2022,4,4,3,"0,1",1,3,6,5,70
07/03/2022,7,6,3,"0,1",1,12,9,14,57
08/03/2022,11,8,3,"0,1",,,14,,44
09/03/2022,14,10,3,"0,2",,,18,,43
10/03/2022,13,10,3,"0,1",,,17,,60
11/03/2022,19,15,3,"0,2",9,34,25,48,45
12/03/2022,7,5,3,"0,1",2,13,10,16,64
13/03/2022,9,7,4,"0,1",3,16,12,19,55
14/03/2022,9,6,5,"0,1",1,10,13,11,84
15/03/2022,15,9,3,"0,1",1,5,21,6,91
16/03/2022,11,7,4,"0,1",1,9,14,9,83
17/03/2022,10,7,4,"0,1",1,6,13,6,82
18/03/2022,13,10,4,"0,1",1,7,18,7,74
19/03/2022,20,15,4,"0,1",1,8,25,8,81
20/03/2022,13,9,4,"0,1",1,7,16,7,86
21/03/2022,5,3,,"0,1",,,8,,
22/03/2022,13,9,5,"0,1",2,13,17,15,
23/03/2022,11,8,5,"0,1",1,11,13,12,101
24/03/2022,9,7,5,"0,1",1,11,11,12,101
25/03/2022,18,14,5,"0,1",1,10,23,11,103
26/03/2022,14,11,4,"0,1",1,5,18,6,111
27/03/2022,16,12,5,"0,1",1,13,22,14,86
28/03/2022,19,14,7,"0,2",4,23,24,28,65
29/03/2022,20,14,7,"0,2",7,26,27,37,58
30/03/2022,18,13,7,"0,1",7,23,24,33,60
31/03/2022,6,4,5,"0,1",3,14,8,19,67
01/04/2022,4,2,4,"0,1",1,7,5,8,79
02/04/2022,2,2,4,"0,1",2,8,4,12,80
03/04/2022,3,2,4,"0,1",1,7,4,8,86
04/04/2022,7,5,5,"0,1",1,11,9,12,89
05/04/2022,7,5,5,"0,1",1,14,10,15,94
06/04/2022,6,5,6,"0,1",2,16,9,19,76
07/04/2022,6,4,5,"0,1",1,12,10,13,75
08/04/2022,5,3,4,"0,1",1,8,8,10,71
