Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,,,,,,,
Estaci�n: 46250302-Val�ncia Port llit antic T�ria,,,,,,,,,,,,,,,,

FECHA,Veloc.,Direc.,Temp.,H.Rel.,Pres.,R.Sol.,Precip.,PM2.5,SO2,CO,NO,NO2,PM10,NOx,O3,Veloc.m�x.
,m/s,grados,�C,% H.R.,mb,W/m�,l/m�,�g/m�,�g/m�,mg/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�,m/s
01/01/2023,"1,4",292,"10,5",72,1030,87,0,15,3,"0,4",6,22,22,31,26,"2,1"
02/01/2023,"1,1",234,"11,1",78,1029,78,0,19,1,"0,4",28,38,30,81,16,"1,8"
03/01/2023,"0,8",257,"12,4",82,1034,68,0,23,2,"0,4",52,46,35,126,9,"1,4"
04/01/2023,"1,1",234,"11,3",77,1038,107,0,17,4,"0,3",44,41,26,108,11,"1,9"
05/01/2023,"1,4",211,"9,5",75,1034,109,0,18,3,"0,3",33,42,24,94,12,"2,1"
06/01/2023,1,212,"8,9",73,1030,111,0,17,1,"0,3",15,32,20,54,20,"1,6"
07/01/2023,"2,2",222,"10,8",62,1027,113,0,12,1,"0,2",4,19,16,25,39,4
08/01/2023,"3,1",214,"16,5",59,1020,40,0,3,2,"0,2",3,12,6,18,50,"5,9"
09/01/2023,"2,3",251,"16,1",60,1025,105,0,4,3,"0,2",18,28,9,57,35,"4,2"
10/01/2023,"1,3",231,"12,5",60,1032,113,0,7,1,"0,2",30,38,14,84,25,"2,3"
11/01/2023,"1,3",232,"12,9",64,1029,107,0,8,1,"0,2",26,31,15,70,15,"2,3"
12/01/2023,"1,7",206,"10,8",68,1032,120,0,9,5,"0,1",25,37,18,75,17,"2,7"
13/01/2023,"1,1",213,"10,2",59,1030,106,0,12,5,"0,2",25,38,20,76,11,"1,8"
14/01/2023,"1,7",201,"10,8",62,1029,123,0,10,1,"0,1",8,25,13,37,24,"2,8"
15/01/2023,"2,9",231,"12,2",52,1023,105,0,6,1,"0,1",2,11,11,15,43,"5,4"
16/01/2023,4,226,"11,3",53,1016,100,0,3,1,"0,1",2,9,11,13,56,8
17/01/2023,"5,1",249,"14,9",48,1003,125,0,3,2,"0,1",3,10,16,14,62,"11,3"
18/01/2023,,,,,,94,0,2,1,"0,1",,,4,,,
19/01/2023,"3,3",242,"8,7",42,1020,111,0,3,1,"0,1",3,8,6,12,61,"6,7"
20/01/2023,3,243,"11,7",49,1020,125,0,4,1,"0,1",18,28,8,55,42,"5,1"
21/01/2023,"2,7",310,"8,6",42,1024,135,0,4,1,"0,1",6,14,9,22,54,"4,7"
22/01/2023,"2,6",278,"7,5",29,1028,137,0,3,1,"0,1",3,5,5,9,67,"4,3"
23/01/2023,"1,5",248,"6,1",42,1027,123,0,6,1,"0,2",43,43,13,108,30,"2,4"
24/01/2023,"1,6",328,"6,1",50,1030,136,0,7,3,"0,2",15,28,12,51,38,"2,7"
25/01/2023,"1,7",292,"7,6",52,1029,100,0,10,3,"0,2",17,36,17,63,32,"2,9"
26/01/2023,"1,6",198,"6,3",55,1022,138,0,11,4,"0,2",48,45,19,119,20,"2,4"
27/01/2023,"1,7",203,6,53,1019,142,0,10,4,"0,2",39,47,17,105,22,"2,5"
28/01/2023,"1,6",226,"6,1",49,1021,142,0,6,1,"0,1",8,24,9,36,50,"2,6"
29/01/2023,"1,4",307,"5,5",63,1028,55,"7,6",5,1,"0,1",4,14,8,21,49,"2,3"
30/01/2023,"1,6",226,"6,3",68,1031,147,0,11,2,"0,2",34,34,17,86,23,"2,6"
31/01/2023,"1,2",234,"6,8",65,1030,150,0,14,2,"0,2",39,44,21,104,16,2
01/02/2023,"1,2",242,"7,1",67,1031,148,0,18,5,"0,2",52,53,27,133,13,"1,8"
02/02/2023,"1,3",220,"7,9",68,1031,152,0,19,5,"0,2",31,48,26,96,20,"2,1"
03/02/2023,"1,1",224,"8,3",63,1032,155,0,21,3,"0,2",38,56,31,115,14,"1,9"
04/02/2023,"1,2",194,"9,1",47,1029,160,0,16,2,"0,2",21,50,25,81,19,"1,8"
05/02/2023,"1,1",216,9,62,1031,156,0,14,4,"0,2",8,35,20,48,27,"1,7"
06/02/2023,"3,7",336,7,80,1030,22,"4,8",13,5,"0,2",7,28,25,39,31,"6,4"
07/02/2023,"2,9",349,"8,4",65,1026,91,0,9,1,"0,2",7,24,15,34,46,"4,8"
08/02/2023,"3,6",341,"7,8",87,1029,24,20,10,1,"0,1",5,25,22,32,47,"6,3"
09/02/2023,"2,9",6,"8,2",74,1035,139,"0,2",8,1,"0,1",8,26,15,39,61,5
10/02/2023,1,278,"6,9",75,1039,107,0,14,1,"0,2",29,40,20,85,28,"1,7"
11/02/2023,"1,6",340,"7,4",69,1037,114,0,11,3,"0,2",7,29,14,41,49,"2,5"
12/02/2023,1,302,"7,6",69,1035,96,0,14,3,"0,2",8,32,17,43,49,"1,7"
13/02/2023,"1,2",220,"7,3",74,1038,112,0,15,1,"0,2",36,48,23,103,25,"1,9"
14/02/2023,"1,5",353,"9,4",76,1035,75,0,14,1,"0,2",14,35,18,56,45,"2,4"
15/02/2023,"1,6",10,"10,1",76,1031,148,0,11,1,"0,2",21,39,17,72,44,"2,5"
16/02/2023,1,291,"9,7",78,1031,152,0,19,2,"0,3",36,45,28,99,25,"1,6"
17/02/2023,"1,3",216,"8,7",74,1033,182,0,22,1,"0,2",37,48,31,106,19,2
18/02/2023,1,207,"8,2",69,1032,104,0,20,1,"0,2",16,45,26,69,24,"1,6"
19/02/2023,"0,8",205,"9,1",73,1028,159,0,26,2,"0,3",17,38,32,65,20,"1,3"
20/02/2023,"0,8",168,"9,5",75,1026,161,0,31,4,"0,3",65,55,45,154,8,"1,3"
21/02/2023,"1,1",208,"9,5",67,1021,111,0,27,2,"0,3",59,60,46,151,8,"1,8"
22/02/2023,"1,3",328,"9,7",84,1018,158,0,30,1,"0,3",37,45,43,101,16,2
23/02/2023,"1,1",283,"10,5",80,1011,113,0,35,2,"0,2",21,39,55,71,21,"1,8"
24/02/2023,"1,6",208,8,56,1011,150,0,5,1,"0,2",27,42,13,83,27,"2,6"
25/02/2023,"2,3",218,"8,7",57,1007,183,0,7,1,"0,1",7,26,13,37,40,"3,7"
26/02/2023,"2,9",268,9,46,1006,165,0,4,1,"0,1",5,15,8,22,56,5
27/02/2023,"3,9",308,"4,9",33,1019,166,0,4,2,"0,1",11,15,9,32,56,"6,6"
28/02/2023,"2,1",268,"7,9",39,1019,204,0,6,1,"0,1",20,30,13,61,45,"3,8"
